"name","type","fullname","ncloc","ncloc_language_distribution","complexity","duplicated_lines_density","cognitive_complexity","code_smells","sqale_rating","sqale_index","bugs","violations","reliability_rating","vulnerabilities","security_rating","alert_status","reliability_remediation_effort"
"Optuna","General-Purpose Machine Learning","optuna/optuna","39245","py=39245","5308","3.6","4526","324","1.0","2176","11","335","3.0","0","1.0","OK","87"
"Deepchecks","General-Purpose Machine Learning","deepchecks/deepchecks","25049","py=25049","3638","1.9","3216","312","1.0","2467","50","362","5.0","0","1.0","OK","475"
"Cartopy","Data Analysis / Data Visualization","SciTools/cartopy","15147","py=15147","2293","1.6","2031","230","1.0","1775","8","238","5.0","0","1.0","OK","50"
"SciPy","Data Analysis / Data Visualization","scipy/scipy","224413","py=224413","37286","1.6","32057","5804","1.0","32318","97","5902","5.0","1","4.0","OK","504"
"NumPy","Data Analysis / Data Visualization","numpy/numpy","158682","py=158682","25781","1.8","25163","2668","1.0","22761","1071","3739","5.0","0","1.0","OK","9131"
"AutoViz","Data Analysis / Data Visualization","AutoViML/AutoViz","3596","py=3596","594","7.0","1259","380","1.0","2608","2","382","3.0","0","1.0","OK","30"
"Numba","Data Analysis / Data Visualization","numba/numba","175682","py=175682","38793","1.1","31993","4291","1.0","29703","187","4478","5.0","0","1.0","OK","1388"
"Mars","Data Analysis / Data Visualization","mars-project/mars","168211","py=168211","26360","1.9","26562","2097","1.0","14349","26","2123","5.0","0","1.0","OK","153"
"NetworkX","Data Analysis / Data Visualization","networkx/networkx","80980","py=80980","14946","2.0","16539","3121","1.0","16436","38","3159","3.0","0","1.0","OK","148"
"igraph","Data Analysis / Data Visualization","igraph/python-igraph","16679","py=16679","3104","1.8","3274","144","1.0","1688","8","152","5.0","0","1.0","OK","45"
"Pandas","Data Analysis / Data Visualization","pandas-dev/pandas","367316","py=367316","46779","1.3","35148","4413","1.0","31295","939","5359","5.0","7","5.0","OK","6930"
"Vaex","Data Analysis / Data Visualization","vaexio/vaex","61257","py=61257","13163","2.5","14536","3346","1.0","21067","192","3583","5.0","45","4.0","OK","1211"
"Open Mining","Data Analysis / Data Visualization","mining/mining","1835","py=1835","311","0.0","317","62","1.0","455","0","62","1.0","0","1.0","OK","0"
"PyMC","Data Analysis / Data Visualization","pymc-devs/pymc","38071","py=38071","5783","1.1","4694","1437","1.0","7002","19","1456","5.0","0","1.0","OK","137"
"zipline","Data Analysis / Data Visualization","quantopian/zipline","71532","py=71532","7862","2.3","5829","612","1.0","4927","52","664","5.0","0","1.0","OK","267"
"PyDy","Data Analysis / Data Visualization","pydy/pydy","11777","py=11777","1114","14.1","1208","226","1.0","1025","1","227","3.0","0","1.0","OK","10"
"SymPy","Data Analysis / Data Visualization","sympy/sympy","442094","py=442094","89063","1.5","90158","18106","1.0","136700","366","18473","5.0","1","5.0","OK","1712"
"statsmodels","Data Analysis / Data Visualization","statsmodels/statsmodels","237280","py=237280","26470","5.4","24971","5619","1.0","29967","205","5824","5.0","0","1.0","OK","1478"
"astropy","Data Analysis / Data Visualization","astropy/astropy","191098","py=191098","33675","1.2","33229","4127","1.0","31931","286","4415","5.0","2","4.0","OK","2066"
"matplotlib","Data Analysis / Data Visualization","matplotlib/matplotlib","128827","py=128827","21407","1.1","19320","2200","1.0","14737","27","2227","5.0","0","1.0","OK","152"
"bokeh","Data Analysis / Data Visualization","bokeh/bokeh","79364","py=79364","9638","3.5","5824","1338","1.0","8590","202","1540","5.0","0","1.0","OK","1881"
"plotly","Data Analysis / Data Visualization","plotly/plotly.py","455529","py=455529","59793","34.2","35997","1551","1.0","28557","13","1566","5.0","2","4.0","OK","90"
"altair","Data Analysis / Data Visualization","altair-viz/altair","30129","py=30129","3956","21.4","2015","4361","1.0","13372","52","4413","3.0","0","1.0","OK","451"
"d3py","Data Analysis / Data Visualization","mikedewar/d3py","1380","py=1380","224","0.0","138","45","1.0","244","2","47","3.0","0","1.0","OK","15"
"PyDexter","Data Analysis / Data Visualization","D3xterjs/pydexter","93","py=93","18","0.0","5","1","1.0","5","0","1","1.0","0","1.0","OK","0"
"ggplot","Data Analysis / Data Visualization","yhat/ggpy","5314","py=5314","646","9.2","719","290","1.0","1893","2","292","3.0","0","1.0","OK","15"
"Kartograph.py","Data Analysis / Data Visualization","kartograph/kartograph.py","4701","py=4701","1369","2.2","2048","329","1.0","2103","6","335","5.0","0","1.0","OK","33"
"pygal","Data Analysis / Data Visualization","Kozea/pygal","9190","py=9190","1774","1.2","1782","235","1.0","1740","2","237","2.0","0","1.0","OK","10"
"PyQtGraph","Data Analysis / Data Visualization","pyqtgraph/pyqtgraph","55000","py=55000","10993","4.7","12024","4168","1.0","22268","9","4177","3.0","0","1.0","OK","62"
"pycascading","Data Analysis / Data Visualization","twitter/pycascading","1232","py=1232","306","0.0","324","82","1.0","629","1","83","3.0","0","1.0","OK","15"
"Petrel","Data Analysis / Data Visualization","AirSage/Petrel","1582","py=1582","332","0.0","280","116","1.0","566","0","116","1.0","0","1.0","OK","0"
"Blaze","Data Analysis / Data Visualization","blaze/blaze","21822","py=21822","3838","2.5","2167","216","1.0","1611","43","263","5.0","4","5.0","OK","211"
"emcee","Data Analysis / Data Visualization","dfm/emcee","2426","py=2426","408","0.6","304","39","1.0","214","0","39","1.0","0","1.0","OK","0"
"windML","Data Analysis / Data Visualization","cigroup-ol/windml","6127","py=6127","1035","20.6","1309","166","1.0","1335","9","175","5.0","0","1.0","OK","55"
"vispy","Data Analysis / Data Visualization","vispy/vispy","59336","py=59336","9964","1.8","8911","1469","1.0","10790","39","1508","3.0","0","1.0","OK","235"
"NuPIC Studio","Data Analysis / Data Visualization","htm-community/nupic.studio","4628","py=4628","821","0.6","1020","102","1.0","888","0","102","1.0","0","1.0","OK","0"
"SparklingPandas","Data Analysis / Data Visualization","sparklingpandas/sparklingpandas","1423","py=1423","260","0.0","104","46","1.0","180","0","46","1.0","0","1.0","OK","0"
"Seaborn","Data Analysis / Data Visualization","mwaskom/seaborn","28208","py=28208","3908","0.7","4404","283","1.0","2979","5","288","3.0","0","1.0","OK","38"
"ipychart","Data Analysis / Data Visualization","nicohlr/ipychart","1240","py=1240","149","0.0","199","11","1.0","206","0","11","1.0","0","1.0","OK","0"
"bqplot","Data Analysis / Data Visualization","bloomberg/bqplot","2187","py=2187","325","0.8","309","30","1.0","256","0","30","1.0","0","1.0","OK","0"
"Superset","Data Analysis / Data Visualization","apache/incubator-superset","115306","py=115306","11583","3.9","9279","1156","1.0","9535","13","1172","5.0","3","5.0","OK","122"
"Dora","Data Analysis / Data Visualization","nathanepstein/dora","188","py=188","31","0.0","7","0","1.0","0","0","0","1.0","0","1.0","OK","0"
"Ruffus","Data Analysis / Data Visualization","cgat-developers/ruffus","18301","py=18301","2913","9.2","3105","1034","1.0","9539","8","1042","5.0","0","1.0","OK","48"
"visualize_ML","Data Analysis / Data Visualization","ayush1997/visualize_ML","339","py=339","68","0.0","75","43","1.0","168","0","43","1.0","0","1.0","OK","0"
"scikit-plot","Data Analysis / Data Visualization","reiinakano/scikit-plot","3065","py=3065","480","19.8","294","128","1.0","719","0","128","1.0","0","1.0","OK","0"
"Bowtie","Data Analysis / Data Visualization","jwkvam/bowtie","2238","py=2238","486","1.2","293","35","1.0","363","0","35","1.0","0","1.0","OK","0"
"PyCM","Data Analysis / Data Visualization","sepandhaghighi/pycm","3889","py=3889","612","0.0","735","341","1.0","1410","0","341","1.0","0","1.0","OK","0"
"Dash","Data Analysis / Data Visualization","plotly/dash","27918","py=27918","3325","3.1","2528","478","1.0","4133","9","487","3.0","0","1.0","OK","85"
"Lambdo","Data Analysis / Data Visualization","asavinov/lambdo","2918","py=2918","471","2.6","517","210","1.0","944","0","210","1.0","0","1.0","OK","0"
"dowel","Data Analysis / Data Visualization","rlworkgroup/dowel","1181","py=1181","202","0.0","119","8","1.0","78","0","8","1.0","0","1.0","OK","0"
"BioPy","Misc Scripts / iPython Notebooks / Codebases","jaredthecoder/BioPy","1694","py=1694","309","0.0","342","188","1.0","830","0","188","1.0","0","1.0","OK","0"
"CAEs for Data Assimilation","Misc Scripts / iPython Notebooks / Codebases","julianmack/Data_Assimilation","8853","py=8853","1539","10.8","2108","988","1.0","4780","10","998","5.0","0","1.0","OK","73"
"SVM Explorer","Misc Scripts / iPython Notebooks / Codebases","plotly/dash-svm","620","py=620","26","0.0","11","19","1.0","100","0","19","1.0","0","1.0","OK","0"
"thinking stats 2","Misc Scripts / iPython Notebooks / Codebases","Wavelets/ThinkStats2","9502","py=9502","1932","2.2","1267","953","1.0","6839","27","980","5.0","0","1.0","OK","150"
"hyperopt","Misc Scripts / iPython Notebooks / Codebases","hyperopt/hyperopt-sklearn","2839","py=2839","545","1.8","439","153","1.0","1007","0","153","1.0","0","1.0","OK","0"
"numpic","Misc Scripts / iPython Notebooks / Codebases","numenta/nupic","125073","py=125073","21136","12.5","22882","15376","1.0","59696","94","15472","5.0","2","4.0","OK","954"
"2012-paper-diginorm","Misc Scripts / iPython Notebooks / Codebases","dib-lab/2012-paper-diginorm","791","py=791","175","2.3","217","59","1.0","285","0","59","1.0","0","1.0","OK","0"
"data-science-ipython-notebooks","Misc Scripts / iPython Notebooks / Codebases","donnemartin/data-science-ipython-notebooks","3730","py=3730","766","4.0","610","282","1.0","1990","3","285","5.0","0","1.0","OK","12"
"decision-weights","Misc Scripts / iPython Notebooks / Codebases","CamDavidsonPilon/decision-weights","26","py=26","4","0.0","2","2","1.0","6","0","2","1.0","0","1.0","OK","0"
"Diffusion Segmentation","Misc Scripts / iPython Notebooks / Codebases","Wavelets/diffusion-segmentation","624","py=624","92","0.0","100","46","1.0","241","1","47","5.0","0","1.0","OK","20"
"Scipy Tutorials","Misc Scripts / iPython Notebooks / Codebases","Wavelets/scipy-tutorials","2314","py=2314","283","7.6","357","112","1.0","610","0","112","1.0","0","1.0","OK","0"
"Crab","Misc Scripts / iPython Notebooks / Codebases","marcelcaraciolo/crab","3992","py=3992","733","8.6","693","235","1.0","3733","0","235","1.0","0","1.0","OK","0"
"BayesPy","Misc Scripts / iPython Notebooks / Codebases","maxsklar/BayesPy","3252","py=3252","765","36.0","976","762","1.0","3630","7","769","5.0","0","1.0","OK","70"
"scikit-learn tutorials","Misc Scripts / iPython Notebooks / Codebases","GaelVaroquaux/scikit-learn-tutorial","611","py=611","79","20.1","72","46","1.0","174","0","46","1.0","0","1.0","OK","0"
"sentiment-analyzer","Misc Scripts / iPython Notebooks / Codebases","madhusudancs/sentiment-analyzer","818","py=818","108","0.0","135","39","1.0","191","0","39","1.0","0","1.0","OK","0"
"group-lasso","Misc Scripts / iPython Notebooks / Codebases","fabianp/group_lasso","82","py=82","15","0.0","30","13","1.0","49","0","13","1.0","0","1.0","OK","0"
"climin","Misc Scripts / iPython Notebooks / Codebases","BRML/climin","2453","py=2453","555","0.0","540","166","1.0","641","18","184","5.0","0","1.0","OK","87"
"Allen Downey’s Think Bayes Code","Misc Scripts / iPython Notebooks / Codebases","AllenDowney/ThinkBayes","5156","css=90;py=5028;web=38","1113","2.8","622","493","1.0","3828","5","498","3.0","0","1.0","OK","25"
"Suiron","Misc Scripts / iPython Notebooks / Codebases","kendricktan/suiron","392","py=392","66","0.0","56","7","1.0","29","0","7","1.0","0","1.0","OK","0"
"Prodmodel","Misc Scripts / iPython Notebooks / Codebases","prodmodel/prodmodel","1746","py=1746","343","0.0","303","18","1.0","137","0","18","1.0","0","1.0","OK","0"
"Keras Tuner","Misc Scripts / iPython Notebooks / Codebases","keras-team/keras-tuner","10523","py=10523","1209","4.1","868","93","1.0","613","4","97","3.0","0","1.0","OK","11"
"nn_builder","Neural Networks","p-christ/nn_builder","3320","py=3320","627","9.8","537","89","1.0","434","0","89","1.0","0","1.0","OK","0"
"NeuralTalk","Neural Networks","karpathy/neuraltalk","1321","py=1321","235","1.8","342","193","1.0","818","0","193","1.0","0","1.0","OK","0"
"Neuron","Neural Networks","molcik/python-neuron","405","py=405","72","31.8","88","66","1.0","247","0","66","1.0","0","1.0","OK","0"
"Data Driven Code","Neural Networks","atmb4u/data-driven-code","97","py=97","12","0.0","7","19","1.0","77","0","19","1.0","0","1.0","OK","0"
"TResNet: High Performance GPU-Dedicated Architecture","Neural Networks","mrT23/TResNet","724","py=724","138","54.0","109","18","1.0","127","1","19","2.0","0","1.0","OK","5"
"TResNet: Simple and powerful neural network library for python","Neural Networks","zueve/neurolab","1869","py=1869","325","1.9","260","83","1.0","420","0","83","1.0","0","1.0","OK","0"
"Jina AI","Neural Networks","jina-ai/jina","33873","py=33873","4832","5.1","4501","506","1.0","3835","4","510","3.0","0","1.0","OK","16"
"sequitur","Neural Networks","shobrook/sequitur","322","py=322","65","0.0","49","12","1.0","50","0","12","1.0","0","1.0","OK","0"
"open-solution-home-credit","Kaggle Competition Source Code","neptune-ml/open-solution-home-credit","3568","py=3568","418","2.9","277","55","1.0","227","0","55","1.0","0","1.0","OK","0"
"open-solution-googleai-object-detection","Kaggle Competition Source Code","neptune-ml/open-solution-googleai-object-detection","8605","py=8605","1209","2.8","941","54","1.0","474","4","58","5.0","0","1.0","OK","21"
"open-solution-salt-identification","Kaggle Competition Source Code","neptune-ml/open-solution-salt-identification","5593","py=5593","897","37.3","850","103","1.0","636","0","103","1.0","0","1.0","OK","0"
"open-solution-ship-detection","Kaggle Competition Source Code","neptune-ml/open-solution-ship-detection","3723","py=3723","690","4.0","589","76","1.0","458","0","76","1.0","0","1.0","OK","0"
"open-solution-data-science-bowl-2018","Kaggle Competition Source Code","neptune-ml/open-solution-data-science-bowl-2018","4877","py=4877","919","7.0","735","110","1.0","627","3","113","3.0","0","1.0","OK","6"
"open-solution-value-prediction","Kaggle Competition Source Code","neptune-ml/open-solution-value-prediction","1297","py=1297","195","0.0","139","32","1.0","130","1","33","3.0","0","1.0","OK","15"
"open-solution-toxic-comments","Kaggle Competition Source Code","neptune-ml/open-solution-toxic-comments","3166","py=3166","449","8.5","240","68","1.0","435","1","69","3.0","0","1.0","OK","2"
"wiki challenge","Kaggle Competition Source Code","hammer/wikichallenge","215","py=215","34","0.0","37","37","1.0","174","0","37","1.0","0","1.0","OK","0"
"kaggle insults","Kaggle Competition Source Code","amueller/kaggle_insults","746","py=746","101","0.0","60","43","1.0","198","0","43","1.0","0","1.0","OK","0"
"kaggle_acquire-valued-shoppers-challenge","Kaggle Competition Source Code","MLWave/kaggle_acquire-valued-shoppers-challenge","187","py=187","59","0.0","170","7","1.0","168","0","7","1.0","0","1.0","OK","0"
"kaggle-cifar","Kaggle Competition Source Code","zygmuntz/kaggle-cifar","1564","py=1564","352","22.0","348","149","1.0","764","1","150","3.0","0","1.0","OK","15"
"kaggle-blackbox","Kaggle Competition Source Code","zygmuntz/kaggle-blackbox","57","py=57","9","0.0","15","4","1.0","20","0","4","1.0","0","1.0","OK","0"
"kaggle-accelerometer","Kaggle Competition Source Code","zygmuntz/kaggle-accelerometer","79","py=79","10","0.0","16","8","1.0","36","0","8","1.0","0","1.0","OK","0"
"kaggle-advertised-salaries","Kaggle Competition Source Code","zygmuntz/kaggle-advertised-salaries","657","py=657","105","37.8","149","43","1.0","215","0","43","1.0","0","1.0","OK","0"
"kaggle amazon","Kaggle Competition Source Code","zygmuntz/kaggle-amazon","66","py=66","8","0.0","11","2","1.0","10","0","2","1.0","0","1.0","OK","0"
"kaggle-bestbuy_big","Kaggle Competition Source Code","zygmuntz/kaggle-bestbuy_big","52","py=52","7","0.0","14","4","1.0","20","0","4","1.0","0","1.0","OK","0"
"kaggle-bestbuy_small","Kaggle Competition Source Code","zygmuntz/kaggle-bestbuy_small","222","py=222","40","13.6","56","30","1.0","141","0","30","1.0","0","1.0","OK","0"
"Kaggle Dogs vs. Cats","Kaggle Competition Source Code","kastnerkyle/kaggle-dogs-vs-cats","240","py=240","20","6.8","20","12","1.0","60","0","12","1.0","0","1.0","OK","0"
"Kaggle Galaxy Challenge","Kaggle Competition Source Code","benanne/kaggle-galaxies","9287","py=9287","1013","66.8","1360","1552","1.0","7805","2","1554","5.0","0","1.0","OK","15"
"Kaggle Gender","Kaggle Competition Source Code","zygmuntz/kaggle-gender","104","py=104","13","0.0","25","4","1.0","20","0","4","1.0","0","1.0","OK","0"
"Kaggle Merck","Kaggle Competition Source Code","zygmuntz/kaggle-merck","79","py=79","13","0.0","18","3","1.0","15","0","3","1.0","0","1.0","OK","0"
"Kaggle Stackoverflow","Kaggle Competition Source Code","zygmuntz/kaggle-stackoverflow","189","py=189","25","0.0","35","13","1.0","65","0","13","1.0","0","1.0","OK","0"
"Gym","Reinforcement Learning","openai/gym","13193","py=13193","2076","5.0","2032","104","1.0","824","5","109","3.0","0","1.0","OK","24"
"Serpent.AI","Reinforcement Learning","SerpentAI/SerpentAI","8522","py=8522","1711","6.6","1745","261","1.0","1786","0","261","1.0","0","1.0","OK","0"
"Roboschool","Reinforcement Learning","openai/roboschool","6270","py=6270","677","18.0","883","100","1.0","616","2","102","3.0","0","1.0","OK","10"
"SLM Lab","Reinforcement Learning","kengz/SLM-Lab","7377","py=7377","1355","2.3","1130","133","1.0","696","4","137","3.0","0","1.0","OK","22"
"Coach","Reinforcement Learning","NervanaSystems/coach","26151","py=26151","4690","2.0","3896","460","1.0","2662","12","472","5.0","0","1.0","OK","70"
"garage","Reinforcement Learning","rlworkgroup/garage","42972","py=42972","4322","11.2","2735","194","1.0","2182","0","194","1.0","0","1.0","OK","0"
"metaworld","Reinforcement Learning","rlworkgroup/metaworld","18013","py=18013","2435","34.5","1635","1000","1.0","3884","3","1003","3.0","0","1.0","OK","15"
"acme","Reinforcement Learning","deepmind/acme","28767","py=28767","3081","5.3","1762","185","1.0","1007","26","211","5.0","0","1.0","OK","260"
"Spinning Up","Reinforcement Learning","openai/spinningup","4812","py=4812","876","43.0","890","78","1.0","805","0","78","1.0","0","1.0","OK","0"
"Maze","Reinforcement Learning","enlite-ai/maze","27762","py=27762","4581","5.9","3292","217","1.0","1797","63","280","5.0","0","1.0","OK","303"
"RLlib","Reinforcement Learning","ray-project/ray","311759","py=311759","47059","4.1","42885","5189","1.0","34875","101","5295","5.0","5","5.0","OK","850"
